label,category,chemical_system,formula,row_id,natoms,energy_ev,energy_per_atom_ev,volume_angstrom3,volume_per_atom_angstrom3,fmax_ev_per_angstrom,selection_basis,poscar_path,metadata_path
01_unary_Al_id1970,unary,Al,Al,1970,1,-3.67864902457,-3.67864902457,17.116019467661726,17.116019467661726,0.0,"Lowest-fmax, lowest-energy-per-atom Al unary example.",/Users/bomilly/ASSYST-EvsV/exports/selected_structures/01_unary_Al_id1970/POSCAR,/Users/bomilly/ASSYST-EvsV/exports/selected_structures/01_unary_Al_id1970/metadata.json
02_unary_Ca_id21212,unary,Ca,Ca,21212,1,-1.9268212693,-1.9268212693,41.86962039202071,41.86962039202071,0.0,"Lowest-fmax, lowest-energy-per-atom Ca unary example.",/Users/bomilly/ASSYST-EvsV/exports/selected_structures/02_unary_Ca_id21212/POSCAR,/Users/bomilly/ASSYST-EvsV/exports/selected_structures/02_unary_Ca_id21212/metadata.json
03_unary_Mg_id46322,unary,Mg,Mg,46322,1,-1.47491968207,-1.47491968207,24.35016810736477,24.35016810736477,0.0,"Lowest-fmax, lowest-energy-per-atom Mg unary example.",/Users/bomilly/ASSYST-EvsV/exports/selected_structures/03_unary_Mg_id46322/POSCAR,/Users/bomilly/ASSYST-EvsV/exports/selected_structures/03_unary_Mg_id46322/metadata.json
04_binary_AlCa_id36654,binary,Al-Ca,AlCa,36654,2,-6.05360155066,-3.02680077533,51.40749601983589,25.703748009917945,0.0,"Lowest-fmax, lowest-energy-per-atom 1:1 Al-Ca alloy.",/Users/bomilly/ASSYST-EvsV/exports/selected_structures/04_binary_AlCa_id36654/POSCAR,/Users/bomilly/ASSYST-EvsV/exports/selected_structures/04_binary_AlCa_id36654/metadata.json
05_binary_AlMg_id66731,binary,Al-Mg,AlMg,66731,2,-5.25682507719,-2.628412538595,38.623263267720006,19.311631633860003,0.0,"Lowest-fmax, lowest-energy-per-atom 1:1 Al-Mg alloy.",/Users/bomilly/ASSYST-EvsV/exports/selected_structures/05_binary_AlMg_id66731/POSCAR,/Users/bomilly/ASSYST-EvsV/exports/selected_structures/05_binary_AlMg_id66731/metadata.json
06_binary_CaMg_id48346,binary,Ca-Mg,CaMg,48346,2,-3.60241894679,-1.801209473395,62.07100651710981,31.035503258554904,0.0,"Lowest-fmax, lowest-energy-per-atom 1:1 Ca-Mg alloy.",/Users/bomilly/ASSYST-EvsV/exports/selected_structures/06_binary_CaMg_id48346/POSCAR,/Users/bomilly/ASSYST-EvsV/exports/selected_structures/06_binary_CaMg_id48346/metadata.json
07_ternary_AlCaMg_id114969,ternary,Al-Ca-Mg,AlCaMg,114969,3,-7.59060050867,-2.5302001695566667,76.23470940495918,25.41156980165306,0.0,"Lowest-fmax, lowest-energy-per-atom balanced Al-Ca-Mg ternary.",/Users/bomilly/ASSYST-EvsV/exports/selected_structures/07_ternary_AlCaMg_id114969/POSCAR,/Users/bomilly/ASSYST-EvsV/exports/selected_structures/07_ternary_AlCaMg_id114969/metadata.json
08_ternary_Al3CaMg_id102785,ternary,Al-Ca-Mg,Al3CaMg,102785,5,-12.7461155943,-2.54922311886,164.52104354953838,32.90420870990768,0.0,"Lowest-fmax, lowest-energy-per-atom Al-rich Al-Ca-Mg ternary.",/Users/bomilly/ASSYST-EvsV/exports/selected_structures/08_ternary_Al3CaMg_id102785/POSCAR,/Users/bomilly/ASSYST-EvsV/exports/selected_structures/08_ternary_Al3CaMg_id102785/metadata.json
09_ternary_AlCa3Mg_id91384,ternary,Al-Ca-Mg,AlCa3Mg,91384,5,-10.1843529791,-2.03687059582,178.00306432022336,35.60061286404467,0.0,"Lowest-fmax, lowest-energy-per-atom Ca-rich Al-Ca-Mg ternary.",/Users/bomilly/ASSYST-EvsV/exports/selected_structures/09_ternary_AlCa3Mg_id91384/POSCAR,/Users/bomilly/ASSYST-EvsV/exports/selected_structures/09_ternary_AlCa3Mg_id91384/metadata.json
10_ternary_AlCaMg3_id92069,ternary,Al-Ca-Mg,AlCaMg3,92069,5,-9.05456545977,-1.810913091954,145.42048345122475,29.08409669024495,0.0,"Lowest-fmax, lowest-energy-per-atom Mg-rich Al-Ca-Mg ternary.",/Users/bomilly/ASSYST-EvsV/exports/selected_structures/10_ternary_AlCaMg3_id92069/POSCAR,/Users/bomilly/ASSYST-EvsV/exports/selected_structures/10_ternary_AlCaMg3_id92069/metadata.json
